Age,Occupation,Purchase_1,Purchase_2,Purchase_3,Purchase_4,Purchase_5
47,12,2064,150,149,21259,11781
48,20,2,2327,908,1670,2081
48,10,3015,9611,1597,444,3449
33,14,954,9718,1987,24708,12547
58,17,4719,6300,1372,15622,13180
50,10,1630,1662,2357,11722,1636
57,11,1432,4762,2102,20799,9854
30,10,3226,3489,158,23337,550
44,15,2526,2666,45,5363,5807
65,10,4292,2003,2256,19265,12577
39,1,192,5213,434,10512,12136
44,8,1978,7296,763,10689,8250
44,8,3136,2517,1754,10696,7853
45,16,1589,9075,195,8590,11410
31,8,3368,1664,573,6410,10257
55,13,4434,3851,188,12927,5495
59,20,2603,9769,161,1286,7944
43,20,4342,3159,1303,6225,8137
44,1,3841,6274,372,10443,3805
48,19,1518,2364,230,12011,12757
33,11,2023,9217,112,16726,9152
53,6,2160,9588,232,5577,2795
64,17,2908,8471,356,5641,6713
51,7,4675,2026,2166,21387,5672
43,16,1502,2443,1423,14984,3232
26,15,449,3413,1534,19418,2086
44,11,1306,5526,310,24365,7963
33,11,963,6282,36,3321,2764
45,16,2516,7900,2424,6055,10222
34,3,373,5549,2024,1439,11036
60,1,434,5819,2307,16218,327
43,1,4054,8822,1447,13759,6397
29,15,623,3941,268,23769,11855
33,14,375,5906,1516,22634,12382
33,16,3438,3193,651,2698,2316
44,14,983,3142,1851,18559,7027
32,19,1342,9651,1501,5415,2346
43,14,1046,704,479,503,4604
34,13,764,3791,16,3725,4871
29,14,2883,5596,427,19619,7274
52,20,2794,2777,704,24785,946
38,1,4405,5722,792,5466,4706
59,1,1508,4839,1174,12852,854
51,4,3605,1275,205,14260,4248
46,17,4014,9719,550,12790,7357
29,14,169,5895,2236,3870,1526
53,14,1551,1509,81,13425,7380
50,20,2036,7261,2046,6177,10630
64,11,4790,9319,1078,2636,1110
46,12,3766,4510,484,6992,1441
37,17,3280,5375,288,4904,4983
40,12,1459,191,1114,8585,1573
32,6,2527,2524,1093,22527,12518
50,10,3112,6646,2052,20138,12674
43,9,167,9974,2390,2805,8720
48,20,1762,1653,2168,5170,7989
50,15,3091,5561,615,5355,2460
34,15,1118,2265,1318,9588,7236
45,18,421,5538,927,16047,7770
51,12,1890,3015,1265,21228,14913
45,16,2096,7109,2029,20918,10971
44,16,4300,6205,1495,9258,1540
38,12,4406,9709,1509,1967,5926
38,3,4556,7335,854,5563,14019
43,8,534,2472,1685,20242,14420
24,4,2003,4004,1462,9174,9689
54,6,3128,4951,2248,10468,8490
33,3,3049,4676,41,14379,3790
49,19,88,2182,1776,10065,14006
41,15,2652,1225,372,4075,10746
47,15,3685,5015,165,12226,4081
44,4,348,3386,1111,18953,8254
49,5,147,5470,1925,12266,4924
27,6,4032,2095,338,9205,12872
42,1,4345,5038,161,8048,13554
34,14,4812,5563,968,22059,1124
38,4,377,6431,1653,19478,5109
36,2,2643,3914,1614,2297,10923
31,3,1069,4561,36,7098,11860
43,19,176,8564,700,16124,2829
43,11,3718,9136,347,18450,12819
68,11,2998,3342,1957,1830,1324
43,20,850,7242,2324,1002,9887
26,4,3395,8138,2451,24680,13797
53,7,1245,5041,1705,2417,14178
30,7,1158,231,1198,17495,5607
58,15,145,6278,510,6460,1797
69,20,2800,1295,1753,8395,5950
45,9,2854,8918,2102,13779,6931
44,7,3505,1902,897,1287,13580
44,3,292,1025,1851,9281,5022
43,19,1749,5713,712,3637,7463
53,3,3267,3169,2322,23326,12125
60,2,2773,3658,1187,9779,10456
55,15,2985,5958,659,6782,12557
23,2,2750,8077,2429,5704,13661
41,10,2121,9952,550,7907,6732
48,18,4804,3515,1858,414,9038
46,18,418,1316,2365,19811,2935
23,16,1006,494,161,23838,3134
39,15,4946,7601,210,11194,14784
46,18,1129,1383,594,9567,10657
31,2,2420,4033,1743,5645,10217
