Age,Occupation,Purchase_1,Purchase_2,Purchase_3,Purchase_4,Purchase_5,Range_of_purchases,Categories,Age_Range
50,14,795,2902,762,12695,458,15000-20000,Fornitures,43-52
39,7,2307,8776,1218,6389,14237,10000-15000,Electrical Products,34-43
32,5,1314,2056,488,10218,14929,2500-10000,Food,25-16
46,18,2310,9043,2086,908,5199,15000-20000,Fornitures,43-52
46,18,4560,3267,1222,16235,4881,15000-20000,Fornitures,43-52
48,4,3775,2835,1039,3392,4469,15000-20000,Fornitures,43-52
64,1,385,6416,1172,2403,2381,0-10000,Home Prodcts,61-70
31,12,2042,4154,795,23827,13004,2500-10000,Food,25-16
49,8,2364,413,2409,2505,8347,15000-20000,Fornitures,43-52
32,6,1551,2308,64,18931,4218,2500-10000,Food,25-16
56,12,1498,6427,770,23558,12276,20000-25000,Travels,52-61
50,9,2031,3822,1821,9445,3349,15000-20000,Fornitures,43-52
27,7,3334,2010,928,3251,11242,2500-10000,Food,25-16
40,9,1238,7434,1909,18500,1985,10000-15000,Electrical Products,34-43
56,18,3671,8001,2279,13194,14352,20000-25000,Travels,52-61
48,14,2339,981,974,24425,1739,15000-20000,Fornitures,43-52
51,11,4395,1333,1064,10394,9179,15000-20000,Fornitures,43-52
54,3,2735,5942,1866,22108,9554,20000-25000,Travels,52-61
38,12,3462,5182,1117,4873,9649,10000-15000,Electrical Products,34-43
64,3,4449,3848,1464,14832,10705,0-10000,Home Prodcts,61-70
39,8,153,5950,1881,547,11930,10000-15000,Electrical Products,34-43
31,14,4700,2320,1733,224,13695,2500-10000,Food,25-16
49,9,3759,7370,409,12860,14508,15000-20000,Fornitures,43-52
56,4,1179,8764,392,5407,2374,20000-25000,Travels,52-61
42,15,4378,1133,1184,5362,9206,10000-15000,Electrical Products,34-43
38,13,3335,5883,647,24948,823,10000-15000,Electrical Products,34-43
57,2,2632,996,2353,15567,5657,20000-25000,Travels,52-61
40,9,2255,2266,40,1611,8886,10000-15000,Electrical Products,34-43
42,14,2816,7015,2287,16878,12815,10000-15000,Electrical Products,34-43
33,20,4834,5829,1454,2979,1662,2500-10000,Food,25-16
50,2,1645,734,964,1250,8976,15000-20000,Fornitures,43-52
45,15,3724,9109,1701,3904,11263,15000-20000,Fornitures,43-52
49,7,4315,6048,964,19161,6575,15000-20000,Fornitures,43-52
49,15,4519,9999,114,12396,2896,15000-20000,Fornitures,43-52
49,9,1303,342,2270,12867,162,15000-20000,Fornitures,43-52
43,12,235,4105,1689,18930,8016,10000-15000,Electrical Products,43-52
51,11,2621,475,675,2502,2571,15000-20000,Fornitures,43-52
29,4,1113,3071,647,21601,889,2500-10000,Food,25-16
47,10,1164,3623,745,7446,652,15000-20000,Fornitures,43-52
43,15,1357,8163,2303,6156,11701,10000-15000,Electrical Products,43-52
43,4,2081,6468,2067,5696,10745,10000-15000,Electrical Products,43-52
23,3,4810,6681,1963,18695,5881,0-2500,Games,16-25
34,1,2988,4003,1895,2525,7646,2500-10000,Food,34-43
45,18,1114,2487,714,15142,8223,15000-20000,Fornitures,43-52
52,15,2457,3130,1762,14710,1839,15000-20000,Fornitures,52-61
33,11,4785,1067,234,5050,10251,2500-10000,Food,25-16
33,3,2938,6072,1592,20824,11123,2500-10000,Food,25-16
54,2,2899,6320,1588,23661,12675,20000-25000,Travels,52-61
28,2,4137,9348,2373,4724,421,2500-10000,Food,25-16
55,16,2043,4016,96,14681,4211,20000-25000,Travels,52-61
37,6,3652,1280,2325,2865,12639,10000-15000,Electrical Products,34-43
59,9,1159,6889,275,13172,10711,20000-25000,Travels,52-61
38,16,1653,376,429,22584,9731,10000-15000,Electrical Products,34-43
42,1,423,2595,798,11237,13896,10000-15000,Electrical Products,34-43
45,9,3935,4637,1350,4169,9941,15000-20000,Fornitures,43-52
30,5,1125,9216,10,14727,13840,2500-10000,Food,25-16
30,11,130,6442,2067,5865,13752,2500-10000,Food,25-16
46,4,2667,4788,1372,22073,4364,15000-20000,Fornitures,43-52
45,1,1908,1487,1150,3000,1183,15000-20000,Fornitures,43-52
57,13,3911,6434,1872,8406,2965,20000-25000,Travels,52-61
